unique,Lat,Lon
13,35.37901,-77.56084
14,35.37696,-77.56086
15,35.37695,-77.56087
16,35.377,-77.56052
17,35.37682,-77.56038
18,35.37682,-77.56028
19,35.37686,-77.56005
20,35.37677,-77.55997
21,35.37675,-77.55998
22,35.37677,-77.55956
23,35.37673,-77.55947
24,35.37659,-77.55953
25,36.32327,-76.33795
26,36.32327,-76.33793
27,36.32327,-76.33788
28,36.32285,-76.33784
29,36.32277,-76.33779
30,36.32277,-76.33788
31,36.3227,-76.33774
32,36.32269,-76.33781
33,36.32261,-76.3378
34,36.32229,-76.3377
35,36.32228,-76.33777
36,36.3222,-76.33781
37,35.69673,-80.62344
38,35.69675,-80.62342
39,35.6967,-80.62341
40,35.69662,-80.6238
41,35.69657,-80.62389
42,35.69662,-80.62392
43,35.6964,-80.62414
44,35.69648,-80.62418
45,35.69649,-80.62418
46,35.69636,-80.62445
47,35.69628,-80.62453
48,35.69639,-80.62467
49,35.1388,-80.37552
50,35.13878,-80.37548
51,35.13878,-80.37546
52,35.13917,-80.37527
53,35.13915,-80.37523
54,35.13923,-80.37519
55,35.13927,-80.3751
56,35.13941,-80.37496
57,35.13946,-80.37489
58,35.13958,-80.37494
59,35.1396,-80.3748
60,35.13963,-80.37468
61,35.42892,-77.50291
62,35.42908,-77.50288
63,35.42906,-77.50276
64,35.42914,-77.50282
65,35.42921,-77.50278
66,35.42938,-77.50278
67,35.42947,-77.50279
68,35.42955,-77.50273
69,35.42962,-77.50281
70,35.42978,-77.50282
71,35.42978,-77.50273
72,35.42995,-77.5028
85,34.79203,-79.40875
86,34.79203,-79.40854
88,34.79206,-79.40845
89,34.79205,-79.40833
90,34.79205,-79.40833
91,34.7921,-79.40785
92,34.79202,-79.40784
93,34.79203,-79.40776
94,34.7921,-79.40766
95,34.7921,-79.40737
96,34.79203,-79.40733
97,35.69849,-80.62472
98,35.69866,-80.62472
99,35.69865,-80.6246
100,35.69873,-80.62478
101,35.6988,-80.62467
102,35.6989,-80.62465
103,35.6993,-80.62481
104,35.6993,-80.62476
105,35.69932,-80.62466
106,35.6993,-80.62466
107,35.69947,-80.62465
108,35.69955,-80.62479
109,36.47486,-80.64001
110,36.47463,-80.64011
111,36.4742,-80.64012
112,36.47462,-80.64021
113,36.47467,-80.64022
114,36.47473,-80.64034
115,36.47469,-80.64041
116,36.47472,-80.64042
117,36.47472,-80.64053
118,36.47461,-80.64062
119,36.47463,-80.64062
120,36.47475,-80.64063
121,35.58073,-76.58185
122,35.58072,-76.5819
123,35.58071,-76.58179
124,35.581,-76.58158
125,35.58089,-76.58137
126,35.58099,-76.58128
127,35.58094,-76.58118
128,35.58084,-76.58098
129,35.5808,-76.58077
130,35.5809,-76.58058
131,35.58082,-76.58047
132,35.58075,-76.58047
133,36.26283,-76.2529
134,36.26283,-76.25293
135,36.26275,-76.25288
136,36.26261,-76.25262
137,36.2624,-76.25244
138,36.26236,-76.25255
139,36.26238,-76.25226
140,36.26229,-76.25244
141,36.26219,-76.25252
142,36.26217,-76.25212
143,36.26183,-76.25226
144,36.26176,-76.25216
145,35.6917,-80.623
146,35.69171,-80.62305
147,35.69168,-80.623
148,35.69191,-80.62265
149,35.6919,-80.6227
150,35.6917,-80.6226
151,35.69169,-80.62243
152,35.69166,-80.62244
153,35.69148,-80.62133
154,35.69162,-80.62224
155,35.69165,-80.62209
156,35.69149,-80.62202
169,36.20227,-80.73409
170,36.20225,-80.73409
171,36.20224,-80.73412
172,36.20245,-80.7338
173,36.20197,-80.73383
174,36.20233,-80.73382
175,36.20232,-80.73366
176,36.20218,-80.73356
177,36.20193,-80.73349
178,36.20205,-80.73343
179,36.202,-80.73334
180,36.20186,-80.73335
181,35.66542,-78.51302
182,35.66541,-78.51295
183,35.66544,-78.51291
184,35.66538,-78.51287
185,35.66542,-78.51283
186,35.66547,-78.51286
187,35.66542,-78.51278
188,35.66548,-78.5126
189,35.66549,-78.51246
190,35.66543,-78.51244
191,35.66549,-78.51232
192,35.66553,-78.51231
205,36.30132,-78.61225
206,36.30132,-78.61222
207,36.30134,-78.61221
208,36.30135,-78.61219
209,36.30141,-78.6123
210,36.30141,-78.61229
211,36.30143,-78.61226
212,36.30143,-78.61224
213,36.30148,-78.61236
214,36.30148,-78.61234
215,36.3015,-78.61228
216,36.30151,-78.61229
217,35.37601,-81.6832
218,35.37602,-81.68328
219,35.37611,-81.68327
220,35.37578,-81.68329
221,35.37584,-81.68335
222,35.37582,-81.68338
223,35.37551,-81.6834
224,35.37551,-81.68341
225,35.37555,-81.68341
226,35.37517,-81.68332
227,35.37514,-81.68338
228,35.37513,-81.68346
229,34.76707,-78.10129
230,34.76713,-78.10121
231,34.76714,-78.10149
232,34.76719,-78.1014
233,34.76688,-78.10211
234,34.76693,-78.102
235,34.76707,-78.10218
236,34.76708,-78.10214
237,34.76733,-78.10208
238,34.7674,-78.10193
239,34.76744,-78.10214
240,34.76753,-78.10199
