"","site","count","mean","sd","se","ciMult","ci","Lat.N","Lon.W","Elev","Precip_90day","LT_90day","HT_90day","MAP","MLT","MHT","Perc_crop_10km","Perc_crop_1km","Perc_veg_10km","Perc_veg_1km","soilmoist","LAI.mean","plantHt","HM_perc","pH","species","Rich_count","Rich_nosing","Rich_nosing_sd","Rich_sing","Rich_sing_sd","Rich_nosing_se","Rich_sing_se","Rich_ciMult","Rich_nosing_ci","Rich_sing_ci"
"1","CRN-GREVT",66,54.8326722812569,4.96193401380148,0.610771855899889,1.997137908392,1.21979562679661,35.4294116666667,-77.5028008333333,9,328.42,7.3,37.6,1234.12,10.5,22.8,49.3912,74.7762,42.2009,21.0209,9.40083333333333,5.29437743633333,175.2,3.15166666666667,5.50833333333333,"CRN",12,61.5833333333333,7.93677669097627,64.5,8.47992281268473,2.29115007951655,2.44794285930539,2.20098516009164,5.0427873245587,5.38788590608346
"2","CRN-ROBVT",55,55.2448657451628,4.40753194486101,0.594311486205528,2.00487928818806,1.19152278942573,34.7920545454545,-79.4080190909091,64,291.2,7.5,38,1159.47,10.1,23.1,30.7244,41.8098,54.0036,53.4075,9.20909090909091,3.77822745390909,164.863636363636,0.461818181818182,4.97272727272727,"CRN",11,61.8181818181818,7.97268062596492,64.3636363636364,8.77807185289261,2.40385365542377,2.64668824716587,2.22813885198627,5.35611972413892,5.89718891260573
"3","CRN-ROWVT",66,58.7592424380078,3.18691740313968,0.392282414780446,1.997137908392,0.783442081353584,35.6990391666667,-80.6247058333333,220,311.5,6.6,34.9,1079.74,8.5,21.6,26.4002,48.8264,63.213,47.9565,20.4533333333333,6.42115874933333,229.883333333333,0.1925,6.40833333333333,"CRN",12,67.5833333333333,7.99384232716127,70.4166666666667,8.89799092066532,2.30762350972299,2.56862872664648,2.20098516009164,5.07904509997889,5.65351370913399
"4","CRN-YADVT",66,58.5466737023222,5.23357958825494,0.644209114677303,1.997137908392,1.28657444385369,36.4746525,-80.6403533333333,323,487.55,4.7,34,1198.65,7.7,20.5,18.5966,33.9233,59.1739,41.8098,23.9466666666667,6.8344151245,286.041666666667,0.6875,6.2,"CRN",12,62.9166666666667,10.6894878977036,66.3333333333333,12.3974581950079,3.08578935761921,3.57883791307749,2.20098516009164,6.79177658328859,7.87696913705688
"5","SOY-BEAVT",66,33.1393856948603,4.1356671886733,0.509065440448101,1.997137908392,1.01667388897118,35.5808408333333,-76.581185,3,258.01,8.5,36.8,1256.14,10.9,22.5,35.6125,99.1604,44.0154,0.232,18.9883333333333,8.46157750633333,91.7166666666667,9.99833333333333,4.91666666666667,"SOY",12,18.25,4.95663008688179,19.3333333333333,5.67824129836204,1.4308558574673,1.63916707106649,2.20098516009164,3.14929250851573,3.60778239832822
"6","SOY-PASVT",66,33.8575669264416,4.71194132324299,0.57999988288511,1.997137908392,1.15833975297278,36.2623666666667,-76.2525066666667,3,352.43,8.8,36.8,1207.4,10.5,21.6,49.292,93.7095,27.4089,4.4941,13.3116666666667,6.53463034691667,89.325,1.485,6.38333333333333,"SOY",12,17.9166666666667,4.37884030586209,18.75,4.75059804847577,1.26406231466393,1.3713795310496,2.20098516009164,2.7821823960064,3.0183859966936
"7","SOY-ROWVT",66,39.8069744787222,4.0921710348145,0.503711434017755,1.997137908392,1.00598119976736,35.6916825,-80.6224625,220,311.5,6.6,34.9,1079.74,8.5,21.6,26.2494,46.6518,62.7257,50.566,22.4016666666667,6.74713768975,88.3083333333333,0.223333333333333,6.71666666666667,"SOY",12,22.3333333333333,5.39921430872263,24.1666666666667,7.1201804539611,1.55861891727674,2.05541905088658,2.20098516009164,3.43049710716421,4.523946828771
"8","SOY-YADVT",66,46.1538808032465,4.18651478855625,0.515324347330415,1.997137908392,1.02917378917094,36.2021541666667,-80.733715,343,431.26,4.9,33.4,1189.59,7.9,20.5,29.0824,54.4513,60.1138,36.2428,15.89,3.35072121508333,57.4916666666667,0.301666666666667,6.31666666666667,"SOY",12,29.0833333333333,7.10260302262274,30.5833333333333,7.57337841429178,2.05034488352914,2.18624603308313,2.20098516009164,4.51277866171747,4.81189507512518
"9","SWCH-CCRS",66,43.5205312529631,4.13765987650071,0.509310723363834,1.997137908392,1.01716375278047,35.6654483333333,-78.5126958333333,100,339.3,7.3,36,1177.02,9.5,21.8,9.9363,32.5026,62.4746,45.811,10.555,9.99461738091667,203.208333333333,0.335,6.325,"SWCH",12,43.25,6.77059148752228,44.1666666666667,6.27887270329973,1.95450140894699,1.81255442272875,2.20098516009164,4.30182859647052,3.98940538628444
"10","SWCH-OTRS",66,57.7195544080825,5.06526130881254,0.623490566701662,1.997137908392,1.2451966462847,36.301415,-78.6122691666667,147,386.44,9.7,36,1127.55,8.6,21.1,17.4476,12.6705,71.7777,29.4292,16.0325,10.1565502729167,175.583333333333,0.29375,5.1125,"SWCH",12,56.5833333333333,7.597348022152,58.4166666666667,7.83301095403681,2.19316546285837,2.26119549143922,2.20098516009164,4.82712463737677,4.97685772072384
"11","SWCH-SHFA",66,54.573613599003,8.20680834077507,1.01018827484763,1.997137908392,2.01748529831132,35.3756325,-81.6833458333333,300,386.69,6.7,35,1245.48,8.4,21.7,19.6535,47.7536,70.573,43.7814,12.5425,12.2882884133333,204.65,0.3875,5.675,"SWCH",12,55.5,9.79331868720154,58,11.037127426019,2.8270875901578,3.18614424524615,2.20098516009164,6.22237783221655,7.01265620169815
"12","SWCH-WBFL",66,62.5559924044861,4.61493903413277,0.568059726490124,1.997137908392,1.13449361400422,34.7671825,-78.10183,19,243.35,10.5,37.4,1300.15,9.9,23.3,29.3558,47.2317,64.8617,48.0145,13.5983333333333,7.86272577341667,180.783333333333,0.51625,6.2875,"SWCH",12,81.9166666666667,11.6342623576255,86,12.996503026164,3.35852225199889,3.7517672603398,2.20098516009164,7.39205763648711,8.25758406412555
"13","WHT-LENVT",66,30.3944378942594,6.76664990736646,0.832917026032901,1.997137908392,1.66345016723544,35.3770025,-77.5601925,21,281.13,-4.2,30.5,1233.56,10.4,22.8,47.2508,65.672,43.7524,31.1399,7.96416666666667,4.18034578666667,66.5916666666667,0.76,5.9,"WHT",12,12.5833333333333,6.31676461105803,12.9166666666667,6.25893301004592,1.82349287430093,1.80679832909492,2.20098516009164,4.01348075586919,3.97673630961629
"14","WHT-PASVT",66,36.7645582146619,3.97466053594614,0.489246891506324,1.997137908392,0.97709351359023,36.3227475,-76.337825,5,330.07,-5.5,30.8,1228.22,9.9,21.5,60.2582,97.9137,29.5478,0.7539,11.5691666666667,4.42747797275,60.2166666666667,NA,NA,"WHT",12,24.4166666666667,5.77547059606926,25.0833333333333,5.94609624931018,1.66723475166868,1.71649013508333,2.20098516009164,3.66955894681183,3.7779693147621
"15","WHT-ROWVT",66,45.3152646467718,5.67020528016941,0.697954022094938,1.997137908392,1.39391043584047,35.6965325,-80.6240025,220,351.29,-5,29.6,1079.74,8.5,21.6,26.3474,45.0571,63.0623,51.4648,19.8025,3.4131299735,67.0583333333333,0.18,6,"WHT",12,35.75,9.11666805163138,37.5833333333333,9.78364436034431,2.63175537686092,2.82429485255018,2.20098516009164,5.79245452946226,6.21623105818614
"16","WHT-UNIVT",66,51.6993519177782,4.36305511065807,0.537054958795899,1.997137908392,1.0725728171012,35.1392383333333,-80.3751266666667,161,299.6,-3.3,30.7,1148.29,9.8,22.5,37.9295,62.1927,56.1579,31.5168,17.8516666666667,7.56404248075,70.0666666666667,0.97,6.9,"WHT",12,51.1666666666667,7.89514618821801,53.5833333333333,8.79522942316234,2.27913238852956,2.53896403752365,2.20098516009164,5.01633656503777,5.5882221685959
