"","nestSite","Lat.N","Lon.W","Elev","Precip_90day","LT_90day","HT_90day","MAP","MLT","MHT","Perc_crop_10km","Perc_crop_1km","Perc_veg_10km","Perc_veg_1km","soilmoist","LAI.mean","plantHt","CEC","HM_perc","pH","P.soil","K.soil","Ca.soil","Mg.soil","Mn.soil","Zn.soil","Cu.soil","Yield","species"
"CRN-GREVT","CRN-GREVT",35.4294116666667,-77.5028008333333,9,328.42,7.3,37.6,1234.12,10.5,22.8,49.3912,74.7762,42.2009,21.0209,9.40083333333333,5.29437743633333,175.2,8.53333333333333,3.15166666666667,5.50833333333333,532.166666666667,349.666666666667,72253.3333333333,17919,7.5,6.84166666666667,1.475,146.463036890909,"CRN"
"CRN-ROBVT","CRN-ROBVT",34.7920545454545,-79.4080190909091,64,291.2,7.5,38,1159.47,10.1,23.1,30.7244,41.8098,54.0036,53.4075,9.20909090909091,3.77822745390909,164.863636363636,2.78181818181818,0.461818181818182,4.97272727272727,151.363636363636,65.9090909090909,26349.0909090909,3763.63636363636,36.8181818181818,7.15454545454545,1.28181818181818,119.276621774444,"CRN"
"CRN-ROWVT","CRN-ROWVT",35.6990391666667,-80.6247058333333,220,311.5,6.6,34.9,1079.74,8.5,21.6,26.4002,48.8264,63.213,47.9565,20.4533333333333,6.42115874933333,229.883333333333,7.9,0.1925,6.40833333333333,44.8333333333333,106.333333333333,85453.3333333333,26544,230.916666666667,6.83333333333333,5.20833333333333,184.427090736364,"CRN"
"CRN-YADVT","CRN-YADVT",36.4746525,-80.6403533333333,323,487.55,4.7,34,1198.65,7.7,20.5,18.5966,33.9233,59.1739,41.8098,23.9466666666667,6.8344151245,286.041666666667,9.8,0.6875,6.2,261.083333333333,391.5,111563.333333333,22342,95.5833333333333,16.5916666666667,6.95833333333333,250.80757505,"CRN"
"SOY-BEAVT","SOY-BEAVT",35.5808408333333,-76.581185,3,258.01,8.5,36.8,1256.14,10.9,22.5,35.6125,99.1604,44.0154,0.232,18.9883333333333,8.46157750633333,91.7166666666667,14.55,9.99833333333333,4.91666666666667,133.75,185.75,144050,20950,9.16666666666667,16.075,1.11666666666667,68.4590339683333,"SOY"
"SOY-PASVT","SOY-PASVT",36.2623666666667,-76.2525066666667,3,352.43,8.8,36.8,1207.4,10.5,21.6,49.292,93.7095,27.4089,4.4941,13.3116666666667,6.53463034691667,89.325,9.69166666666667,1.485,6.38333333333333,185.083333333333,291.583333333333,126638.333333333,18222,14.5833333333333,2.84166666666667,3.13333333333333,62.6108408272727,"SOY"
"SOY-ROWVT","SOY-ROWVT",35.6916825,-80.6224625,220,311.5,6.6,34.9,1079.74,8.5,21.6,26.2494,46.6518,62.7257,50.566,22.4016666666667,6.74713768975,88.3083333333333,9.80833333333333,0.223333333333333,6.71666666666667,69.3333333333333,243.75,109190,34132,314.916666666667,24.625,6.65833333333333,77.1600443866667,"SOY"
"SOY-YADVT","SOY-YADVT",36.2021541666667,-80.733715,343,431.26,4.9,33.4,1189.59,7.9,20.5,29.0824,54.4513,60.1138,36.2428,15.89,3.35072121508333,57.4916666666667,10.1916666666667,0.301666666666667,6.31666666666667,185.25,253.833333333333,128751.666666667,27518,20.8333333333333,26.05,4.16666666666667,46.6798662255556,"SOY"
"SWCH-CCRS","SWCH-CCRS",35.6654483333333,-78.5126958333333,100,339.3,7.3,36,1177.02,9.5,21.8,9.9363,32.5026,62.4746,45.811,10.555,9.99461738091667,203.208333333333,NA,0.335,6.325,NA,NA,NA,NA,NA,NA,NA,NA,"SWCH"
"SWCH-OTRS","SWCH-OTRS",36.301415,-78.6122691666667,147,386.44,9.7,36,1127.55,8.6,21.1,17.4476,12.6705,71.7777,29.4292,16.0325,10.1565502729167,175.583333333333,NA,0.29375,5.1125,NA,NA,NA,NA,NA,NA,NA,NA,"SWCH"
"SWCH-SHFA","SWCH-SHFA",35.3756325,-81.6833458333333,300,386.69,6.7,35,1245.48,8.4,21.7,19.6535,47.7536,70.573,43.7814,12.5425,12.2882884133333,204.65,NA,0.3875,5.675,NA,NA,NA,NA,NA,NA,NA,NA,"SWCH"
"SWCH-WBFL","SWCH-WBFL",34.7671825,-78.10183,19,243.35,10.5,37.4,1300.15,9.9,23.3,29.3558,47.2317,64.8617,48.0145,13.5983333333333,7.86272577341667,180.783333333333,NA,0.51625,6.2875,NA,NA,NA,NA,NA,NA,NA,NA,"SWCH"
"WHT-LENVT","WHT-LENVT",35.3770025,-77.5601925,21,281.13,-4.2,30.5,1233.56,10.4,22.8,47.2508,65.672,43.7524,31.1399,7.96416666666667,4.18034578666667,66.5916666666667,5.6,0.76,5.9,90,148.58,63840,10895.36,12.96,7.56,0.74,75.15185503,"WHT"
"WHT-PASVT","WHT-PASVT",36.3227475,-76.337825,5,330.07,-5.5,30.8,1228.22,9.9,21.5,60.2582,97.9137,29.5478,0.7539,11.5691666666667,4.42747797275,60.2166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WHT"
"WHT-ROWVT","WHT-ROWVT",35.6965325,-80.6240025,220,351.29,-5,29.6,1079.74,8.5,21.6,26.3474,45.0571,63.0623,51.4648,19.8025,3.4131299735,67.0583333333333,8,0.18,6,88.8,99.705,84800,24320,436.8,5.68,4.76,62.5545454545455,"WHT"
"WHT-UNIVT","WHT-UNIVT",35.1392383333333,-80.3751266666667,161,299.6,-3.3,30.7,1148.29,9.8,22.5,37.9295,62.1927,56.1579,31.5168,17.8516666666667,7.56404248075,70.0666666666667,22,0.97,6.9,711.6,301.07,378400,18726.4,51.36,28.92,3.36,103.375,"WHT"
