Species_Site,Longitude,Latitude,copy-paste,Perc_cult_10km,Perc_SameCrop_10km,Crop_Hdiv_10km,NDVI_10km,NDVI_img_num_10km,Perc_cult_5km,Perc_SameCrop_5km,Crop_Hdiv_5km,NDVI_5km,NDVI_img_num_5km,Perc_cult_1km,Perc_SameCrop_1km,Crop_Hdiv_1km,NDVI_1km,NDVI_img_num_1km,Perc_crop_10km,Perc_veg_10km,Perc_nonveg_10km,sum_10km,Perc_crop_5km,Perc_veg_5km,Perc_nonveg_5km,sum_5km,Perc_crop_1km,Perc_veg_1km,Perc_nonveg_1km,sum_1km,Notes
WHT-BEAVT,-76.58194,35.582351,"-76.58194, 35.582351",,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHT-LENVT,-77.560192,35.376905,"-77.560192, 35.376905",48.7687,1.0055,2.430943768,0.660141792,54,57.2069,0.3213,2.212834393,0.628883102,50,65.759,0.8988,1.855517058,0.70908573,25,47.2508,43.7524,8.9995,100.0027,55.5844,39.3348,5.096,100.0152,65.672,31.1399,3.1894,100.0013,
WHT-PASVT,-76.337488,36.323124,"-76.337488, 36.323124",63.4166,3.6779,1.601292559,0.7461197,25,80.8882,5.7235,1.76605371,0.730507343,25,98.2326,35.257,1.830123832,0.603538194,25,60.2582,29.5478,10.217,100.023,77.8427,16.6184,5.5599,100.021,97.9137,0.7539,1.1888,99.8564,
WHT-ROWVT,-80.6240219,35.6965143,"-80.6240219, 35.6965143",24.5405,3.3494,2.209530015,0.761717324,50,28.9954,3.0931,1.994842752,0.769556112,50,43.5784,0.6669,1.438415371,0.697163581,50,26.3474,63.0623,10.6038,100.0135,31.0204,60.3916,8.5927,100.0047,45.0571,51.4648,3.5953,100.1172,
WHT-UNIVT,-80.376025,35.138747,"-80.376025, 35.138747",40.2067,5.3552,2.033986293,0.675770946,48,44.9075,5.6655,1.899110751,0.675755491,48,64.7732,5.5089,1.314168017,0.658284652,24,37.9295,56.1579,5.9076,99.995,42.2447,52.3602,5.3953,100.0002,62.1927,31.5168,6.2338,99.9433,
CRN-GREVT,-77.503312,35.430007,"-77.503312, 35.430007",50.5678,9.3072,2.43878531,0.652333661,56,47.88,8.5742,2.670574338,0.683598938,28,74.8632,19.9771,2.305004594,0.613215359,27,49.3912,42.2009,8.4031,99.9952,47.575,45.6892,6.7278,99.992,74.7762,21.0209,4.0012,99.7983,
CRN-PASVT,-76.251275,36.261859,"-76.251275, 36.261859",,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,
CRN-ROBVT,-79.406481,34.793357,"-79.406481, 34.793357",34.4864,8.1239,2.328902446,0.65239399,24,27.1421,8.4408,2.261891587,0.683574029,24,44.8831,20.7019,1.643200049,0.667955825,24,30.7244,54.0036,15.2638,99.9918,23.6118,56.3927,19.9945,99.999,41.8098,53.4075,4.6971,99.9144,
CRN-ROWVT,-80.624822,35.698633,"-80.624822, 35.698633",24.5979,9.268,2.206511617,0.761716564,50,29.0407,10.8334,1.990147395,0.769564287,50,48.9423,29.5162,1.353411394,0.689481681,50,26.4002,63.213,10.3982,100.0114,31.0529,60.2826,8.6704,100.0059,48.8264,47.9565,3.3343,100.1172,
CRN-YADVT,-80.64008,36.4749,"-80.64008, 36.4749",13.1153,4.9264,1.768173026,0.777369859,48,15.2545,4.0859,1.792219426,0.746087464,48,40.418,17.2806,1.556069133,0.783185968,48,18.5966,59.1739,22.2566,100.0271,19.6025,44.5225,35.9007,100.0257,33.9233,41.8098,24.0653,99.7984,
SOY-BEAVT,-76.581984,35.581626,"-76.581984, 35.581626",36.0164,15.9637,1.629211115,0.714855285,25,33.3573,15.1837,1.857121525,0.753992465,25,99.3924,67.6437,1.398730104,0.568454061,25,35.6125,44.0154,20.3721,100,33.0059,62.9675,4.0266,100,99.1604,0.232,0.6959,100.0883,"for 10km and 5km, manually added %ocean to %nonveg"
SOY-PASVT,-76.252579,36.262307,"-76.252579, 36.262307",52.4562,33.2776,1.560400626,0.699217537,43,60.8973,37.8944,1.451567473,0.683578377,25,95.0722,67.6437,1.062896726,0.685445109,25,49.292,27.4089,23.2991,100,55.5391,19.1675,25.3143,100.0209,93.7095,4.4941,1.9426,100.1462,"for 10km, manually added %ocean to %nonveg"
SOY-ROWVT,-80.622757,35.691709,"-80.622757, 35.691709",24.481,10.6455,2.215616833,0.761718926,50,29.5927,14.6746,1.999410757,0.769559923,50,44.9701,11.9456,1.418340015,0.712823845,50,26.2494,62.7257,11.0326,100.0077,31.7279,60.1782,8.1103,100.0164,46.6518,50.566,2.9864,100.2042,
SOY-SAMVT,-78.229776,35.171901,"-78.229776, 35.171901",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOY-YADVT,-80.733618,36.201527,"-80.733618, 36.201527",28.6116,12.3379,2.097913154,0.761730488,97,36.5479,17.298,2.024308377,0.730479437,48,53.4365,37.8955,1.657815201,0.68358429,48,29.0824,60.1138,10.8247,100.0209,37.0837,53.6162,9.306,100.0059,54.4513,36.2428,9.2492,99.9433,
SWCH-CCRS,-78.51256,35.66531,"-78.51256, 35.66531",8.609,0,2.003461722,0.769558903,52,8.8305,0,1.881891468,0.753938535,52,34.2712,0,1.330598311,0.533007928,52,9.9363,62.4746,27.5944,100.0053,9.8291,59.8825,30.3013,100.0129,32.5026,45.811,21.8037,100.1173,
SWCH-CGRF,-80.65369,35.5536,"-80.65369, 35.5536",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWCH-OTRS,-78.61235,36.3014,"-78.61235, 36.3014",14.3945,0,1.908350925,0.80872706,76,15.1153,0,2.016480233,0.777436648,76,11.1338,0,1.676243399,0.621082306,50,17.4476,71.7777,10.7902,100.2622,18.198,59.1518,22.6874,100.0372,12.6705,29.4292,58.1625,100.2622,
SWCH-SHFA,-81.6867,35.37303,"-81.6867, 35.37303",18.1669,0,2.118596472,0.785185772,25,23.8611,0,2.175538339,0.736327351,25,47.1737,0,2.085043637,0.642549999,25,19.6535,70.573,9.7766,100.0031,28.0062,64.8776,7.1222,100.006,47.7536,43.7814,8.3214,99.8564,
SWCH-WBFL,-78.10178,34.76718,"-78.10178, 34.76718",28.0934,0,1.779496811,0.738353838,52,35.9958,0,1.660849383,0.714880583,52,49.0003,0,1.302488151,0.681795264,52,29.3558,64.8617,5.7728,99.9903,36.8517,58.7273,4.4257,100.0047,47.2317,48.0145,4.7551,100.0013,
